# plan_cen (STAGING) — Etap 2, WYŁĄCZNIE PLAN. Klucz: SKU (EAN-13). Kolejność: DO_IMPORTU, BLOKADA, BRAK_EAN, WYKLUCZONE, BEZ_ZMIAN
sku;wc_id;wc_nazwa;cennik_lp;cennik_nazwa;cennik_ean;metoda;netto_cennik;vat_cennik;klasa_wc;vat_wc;brutto_docelowy;brutto_obecny;delta_brutto;sale_price;decyzja;powod
5907636994749;19;Babka Płesznik 60 kapsułek;16;BABKA PŁESZNIK X 60 KAPS.;5907636994749;EAN;22.50;8%;reduced-rate;8%;24.30;24.00;+0.30;;DO_IMPORTU;import ceny regularnej brutto z cennika
5903317643333;2068;Karczoch Ostropest x60 kaps.;46;KARCZOCH OSTROPEST X 60 KAPS.;5903317643333;EAN;22.50;8%;reduced-rate;8%;24.30;24.00;+0.30;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994596;2059;Pneumovit Pastylki x16;91;PNEUMOVIT PASTYLKI DO SSANIA NA GARDŁO x16 pastylek;5907636994596;EAN;10.80;23%;(standard);23%;13.28;13.00;+0.28;;DO_IMPORTU;import ceny regularnej brutto z cennika
5903317643258;2058;Mosqitos Płyn 20ml;77;MOSQITOS PŁYN OCHRONNY NA SKÓRĘ 20ML;5903317643258;EAN;5.90;23%;(standard);23%;7.26;7.00;+0.26;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994206;232;Pneumovit Spray do nosa 35 ml;94;PNEUMOVIT SPRAY DO NOSA 35 ML;5907636994206;EAN;15.50;8%;reduced-rate;8%;16.74;17.00;-0.26;;DO_IMPORTU;import ceny regularnej brutto z cennika
8594011210173;41;Colafit SLIM z Chitosanem 60 kapsułek;33;COLAFIT SLIM Z CHITOSANEM X 60 KAPS.;8594011210173;EAN;47.00;8%;reduced-rate;8%;50.76;51.00;-0.24;;DO_IMPORTU;import ceny regularnej brutto z cennika
5903317643241;179;Mosqitos Zestaw Płyn 20ml i Żel 20ml;76;MOSQITOS ZESTAW PŁYN 20ML i ŻEL 20 ML;5903317643241;EAN;13.20;23%;(standard);23%;16.24;16.00;+0.24;14.62;DO_IMPORTU;import ceny regularnej brutto z cennika | ⚠ aktywna cena promocyjna 14.62 — do osobnej decyzji
5907636994862;109;Diabelski (Czarci) Pazur balsam 200 ml;38;DIABELSKI (CZARCI) PAZUR BALSAM 200 ML;5907636994862;EAN;19.70;23%;(standard);23%;24.23;24.00;+0.23;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994237;167;Maść Świerkowa 135 ml;69;MAŚĆ ŚWIERKOWA 135 ML;5907636994237;EAN;19.70;23%;(standard);23%;24.23;24.00;+0.23;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994565;2060;Pneumovit Pastylki x8;92;PNEUMOVIT PASTYLKI DO SSANIA NA GARDŁO x8 pastylek;5907636994565;EAN;7.50;23%;(standard);23%;9.23;9.00;+0.23;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994374;197;RABKA SPA MINERALE żel 200 ml;98;RABKA SPA MINERALE ŻEL 200 ML;5907636994374;EAN;17.40;8%;reduced-rate;8%;18.79;19.00;-0.21;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994107;25;CARBOsal syrop 100ml;25;CARBOSAL SYROP (CARBO ACTIV) O SMAKU COLI 100 ML;5907636994107;EAN;15.00;8%;reduced-rate;8%;16.20;16.00;+0.20;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994985;2053;Kwas Hialuronowy x60 kaps.;50;KWAS HIALURONOWY x60 KAPS.;5907636994985;EAN;35.00;8%;reduced-rate;8%;37.80;38.00;-0.20;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994732;89;Zielony Jęczmień 60 kapsułek;112;ZIELONY JĘCZMIEŃ X 60 KAPS.;5907636994732;EAN;22.40;8%;reduced-rate;8%;24.19;24.00;+0.19;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994121;2040;Apleplus C,E – Ocet Jabłkowy x30 kaps.;6;APLEPLUS C, E – OCET JABŁKOWY + WIT. C x30 kaps.;5907636994121;EAN;12.20;8%;reduced-rate;8%;13.18;13.00;+0.18;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994831;97;ARCACET pianka 100 ml;8;ARCACET PIANKA 100 ML;5907636994831;EAN;15.30;23%;(standard);23%;18.82;19.00;-0.18;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994381;199;Venal Spray 115 ml;104;VENAL SPRAY NA ZMĘCZONE NOGI, ŻYLAKI 115ml;5907636994381;EAN;15.30;23%;(standard);23%;18.82;19.00;-0.18;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994572;29;Chrom Forte;26;CHROM FORTE X 30 KAPS.;5907636994572;EAN;15.90;8%;reduced-rate;8%;17.17;17.00;+0.17;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994992;2050;Czystek x60 kaps.;37;CZYSTEK X60 KAPS.;5907636994992;EAN;19.60;8%;reduced-rate;8%;21.17;21.00;+0.17;;DO_IMPORTU;import ceny regularnej brutto z cennika
5903317643050;2046;Ashwagandha + Gotu Kola x60 kaps.;13;ASHWAGANDHA + GOTU KOLA x60 KAPS..;5903317643050;EAN;23.00;8%;reduced-rate;8%;24.84;25.00;-0.16;;DO_IMPORTU;import ceny regularnej brutto z cennika
5903317643289;1551;Collagen Vegan;35;COLLAGEN VEGAN BEAUTY X 60 KAPS.;5903317643289;EAN;52.00;8%;reduced-rate;8%;56.16;56.00;+0.16;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994695;161;Maść Propolisowa 10% z witaminami A,E,F 50 ml;66;MAŚĆ PROPOLISOWA 50ML;5907636994695;EAN;13.70;23%;(standard);23%;16.85;17.00;-0.15;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994541;145;Maść Kasztanowa 130 ml;59;MAŚĆ KASZTANOWA 130 ML;5907636994541;EAN;18.00;23%;(standard);23%;22.14;22.00;+0.14;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994466;212;Żel z Kasztanowcem 200 ml;120;ŻEL Z KASZTANOWCEM 200 ML;5907636994466;EAN;18.00;23%;(standard);23%;22.14;22.00;+0.14;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994800;16;ARTREVIT 60 kapsułek;9;ARTREVIT X 60 KAPS.;5907636994800;EAN;31.60;8%;reduced-rate;8%;34.13;34.00;+0.13;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994763;228;Aurix 35 ml;14;AURIX KROPLE DO USZU 35ML;5907636994763;EAN;18.40;8%;reduced-rate;8%;19.87;20.00;-0.13;;DO_IMPORTU;import ceny regularnej brutto z cennika
5903317643180;171;Maść z kurkumą, nagietkiem i olejem CBD 5% 80 ml;72;MAŚĆ Z KURKUMĄ, NAGIETKIEM i OLEJEM CBD 5%;5903317643180;EAN;18.60;23%;(standard);23%;22.88;23.00;-0.12;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994114;2052;Koenzym Q10 30mg z Magnezem x30 kaps.;47;KOENZYM Q10 30 MG Z MAGNEZEM X 30 KAPS.;5907636994114;EAN;21.40;8%;reduced-rate;8%;23.11;23.00;+0.11;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994183;57;Hepasal 40 kapsułek;44;HEPASAL X 40 KAPS.;5907636994183;EAN;14.90;8%;reduced-rate;8%;16.09;16.00;+0.09;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994633;169;Maść Witaminowa A,E,F 20ml;71;MAŚĆ WITAMINOWA A,E,F 20ML;5907636994633;EAN;9.00;23%;(standard);23%;11.07;11.00;+0.07;;DO_IMPORTU;import ceny regularnej brutto z cennika
5903317643074;73;OSTROPEST mielony 150g;86;OSTROPEST MIELONY 150g;5903317643074;EAN;12.90;8%;reduced-rate;8%;13.93;14.00;-0.07;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994756;2038;AloeVera z Zieloną Herbatą x60 kaps.;4;ALOEVERA Z ZIELONĄ HERBATĄ X 60 KAPS.;5907636994756;EAN;19.50;8%;reduced-rate;8%;21.06;21.00;+0.06;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994220;2042;Apleplus Forte z Zieloną Herbatą x30 kaps.;7;APLEPLUS FORTE Z ZIELONĄ HERBATĄ x 30 kaps.;5907636994220;EAN;15.80;8%;reduced-rate;8%;17.06;17.00;+0.06;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994312;189;Pneumovit Żel 100 ml;116;ŻEL PNEUMOVIT 100 ML;5907636994312;EAN;15.80;8%;reduced-rate;8%;17.06;17.00;+0.06;;DO_IMPORTU;import ceny regularnej brutto z cennika
5903317643302;1441;Witamina C 500mg VEGAN;106;WITAMINA C 500mg VEGAN z Aceroli X 60 KAPS.;5903317643302;EAN;19.40;8%;reduced-rate;8%;20.95;21.00;-0.05;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994725;2049;Carbocaps x20 kaps.;22;CARBOCAPS X20 kaps.;5907636994725;EAN;8.30;8%;reduced-rate;8%;8.96;9.00;-0.04;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994589;47;Energia;39;ENERGIA x30 kaps;5907636994589;EAN;13.00;8%;reduced-rate;8%;14.04;14.00;+0.04;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994022;2063;Selen A,C,E Antyoksydanty x30 tab.;101;SELEN A ,C, E ANTYOKSYDANTY X 30 TAB.;5907636994022;EAN;18.50;8%;reduced-rate;8%;19.98;20.00;-0.02;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994343;203;Zdrowa Stopa Kremo - Żel do stóp 100 ml;107;ZDROWA STOPA KREMO – ŻEL DO STÓP 100 ML;5907636994343;EAN;11.40;23%;(standard);23%;14.02;14.00;+0.02;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994329;183;Olejek Pichtowy 100 ml;81;OLEJEK PICHTOWY W ŻELU 100 ML;5907636994329;EAN;13.90;8%;reduced-rate;8%;15.01;15.00;+0.01;13.51;DO_IMPORTU;import ceny regularnej brutto z cennika | ⚠ aktywna cena promocyjna 13.51 — do osobnej decyzji
;;;1;ACEROLA x 60 KAPS.;5907636994152;;19.50;8%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;2;ALANTOIN MAŚĆ 50ML;5907636994893;;11.60;23%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;3;ALOE VERA ŻEL 150 ML;5907636994367;;18.20;23%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;5;APHTIHELP GEL 10G;5907636994718;;12.50;23%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;10;ARTRO ŻEL 100 ML;5907636994350;;16.80;23%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;11;ARTROFIT X 60 KAPS.;8594011210104;;51.00;8%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;18;BALSAM Z KONOPII 200 ML;5907636994145;;19.40;23%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
