# plan_ean_STAGING — sekcja 1: DO_WERYFIKACJI (w tym wymuszone: sprzeczna gramatura/pojemność), potem AUTO, potem POMIŃ
sku;wc_id;wc_sku_obecny;wc_nazwa;cennik_lp;cennik_nazwa;cennik_ean;score;runner_up;metoda;decyzja;powod_pominiecia;powod
5907636994121;2040;5907636994121;Apleplus C,E – Ocet Jabłkowy x30 kaps.;6;APLEPLUS C, E – OCET JABŁKOWY + WIT. C x30 kaps.;5907636994121;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5907636994220;2042;5907636994220;Apleplus Forte z Zieloną Herbatą x30 kaps.;7;APLEPLUS FORTE Z ZIELONĄ HERBATĄ x 30 kaps.;5907636994220;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5903317643043;2044;5903317643043;Ashwagandha x60 kaps.;12;ASHWAGANDHA x60 kaps.;5903317643043;1.000;;EAN;POMIŃ;PODCIAG;REGUŁA PODCIĄGU: nazwa z cennika zawiera się w innej pozycji cennika
5903317643050;2046;5903317643050;Ashwagandha + Gotu Kola x60 kaps.;13;ASHWAGANDHA + GOTU KOLA x60 KAPS..;5903317643050;1.000;;EAN;POMIŃ;PODCIAG;REGUŁA PODCIĄGU: nazwa z cennika zawiera się w innej pozycji cennika
5907636994763;228;5907636994763;Aurix 35 ml;14;AURIX KROPLE DO USZU 35ML;5907636994763;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5907636994060;2048;5907636994060;Carbocaps x30 kaps.;21;CARBOCAPS X 30 KAPS.;5907636994060;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5907636994725;2049;5907636994725;Carbocaps x20 kaps.;22;CARBOCAPS X20 kaps.;5907636994725;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5907636994411;2067;5907636994411;Carbosal + z Czarną Jagodą x20 kaps.;23;CARBOSAL + Z CZARNĄ JAGODĄ X 20 KAPS.;5907636994411;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5907636994107;25;5907636994107;CARBOsal syrop 100ml;25;CARBOSAL SYROP (CARBO ACTIV) O SMAKU COLI 100 ML;5907636994107;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5907636994572;29;5907636994572;Chrom Forte;26;CHROM FORTE X 30 KAPS.;5907636994572;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
