lp;nazwa;netto_100;ean;bloz;cn;vat;kategoria;opak_zbiorcze
74;MAŚĆ ŻYWOKOSTOWA 130 ML;19;5907636994510;7039472;3304 99 00;0.23;Kosmetyk;60
75;MOSQITOS PŁYN OCHRONNY NA SKÓRĘ 100ML;9.5;5903317643234;7091956;3304 99 00;0.23;Kosmetyk;100
76;MOSQITOS ZESTAW PŁYN 20ML i ŻEL 20 ML;13.2;5903317643241;7091962;3304 99 00;0.23;Kosmetyk;200
77;MOSQITOS PŁYN OCHRONNY NA SKÓRĘ 20ML;5.9;5903317643258;7091957;3304 99 00;0.23;Kosmetyk;200
78;MAŚĆ ŻYWOKOSTOWA Z OLEJEM CBD 140ml;20.1;5903317643197;7084385;3304 99 00;0.23;Kosmetyk;60
79;OLEJ CBD W KAPSUŁKACH x60 KAPS.;64;5903317643203;3917561;2106 90 92;0.08;Suplement;140
80;OLEJ KOKOSOWY W ŻELU 200 ML;17.5;5907636994930;7068348;3304 99 00;0.23;Kosmetyk;60
81;OLEJEK PICHTOWY W ŻELU 100 ML;13.9;5907636994329;9058478;3006 70 00;0.08;Wyrób med.;80
82;OLEK Z KONOPI 10% 10ml;154;5903317643111;3669261;2106 90 92;0.08;Suplement;50
83;OLEK Z KONOPI 10% 20ml;296;5903317643128;3669262;2106 90 92;0.08;Suplement;50
84;OLEK Z KONOPI 5% 10ml;85;5903317643098;3671882;2106 90 92;0.08;Suplement;50
85;OLEK Z KONOPI 5% 20ml;164;5903317643104;3671881;2106 90 92;0.08;Suplement;50
86;OSTROPEST MIELONY 150g;12.9;5903317643074;3436481;2106 90 92;0.08;Suplement;100
87;OSTROPEST x60 kaps.;14.3;5903317643067;3474462;2106 90 92;0.08;Suplement;140
88;PANTHENOL PIANKA 100ML;13.5;5907636994688;7050905;3304 99 00;0.23;Kosmetyk;114
89;PANTHENOL ŻEL Z ALOESEM I ALANTOINĄ 100 ML;13.5;5907636994534;7039857;3304 99 00;0.23;Kosmetyk;60
90;PNEUMOVIT BABY SPRAY 35ML;16.1;5907636994770;9055206;3006 70 00;0.08;Wyrób med.;200
91;PNEUMOVIT PASTYLKI DO SSANIA NA GARDŁO x16 pastylek;10.8;5907636994596;8611401;2106 90 92;0.23;Suplement;100
92;PNEUMOVIT PASTYLKI DO SSANIA NA GARDŁO x8 pastylek;7.5;5907636994565;8611402;2106 90 92;0.23;Suplement;200
93;PNEUMOVIT SEPT AEROZOL DO GARDŁA 35 ML;15.4;5907636994282;7037410;3006 70 00;0.08;Wyrób med.;200
94;PNEUMOVIT SPRAY DO NOSA 35 ML;15.5;5907636994206;7035600;3006 70 00;0.08;Wyrób med.;200
95;PNEUMOVIT ZATOKI 50ML;16.2;5907636994787;9055205;3006 70 00;0.08;Wyrób med.;200
96;PUDER RODZINNY PIELĘGNUJĄCY 50 ML;10;5907636994909;7051791;3304 99 00;0.23;Kosmetyk;100
97;RABKA SPA MINERALE SPRAY 215 ML;15.6;5907636994305;9061704;3006 70 00;0.08;Wyrób med.;70
98;RABKA SPA MINERALE ŻEL 200 ML;17.4;5907636994374;9061703;3006 70 00;0.08;Wyrób med.;70
99;RESVERATROL x60 kaps.;40.4;5907636994961;8617521;2106 90 92;0.08;Suplement;140
100;ROKITNIK I ACEROLA x60 kaps.;23.9;5907636994138;3278641;2106 90 92;0.08;Suplement;140
101;SELEN A ,C, E ANTYOKSYDANTY X 30 TAB.;18.5;5907636994022;6996002;2106 90 92;0.08;Suplement;200
102;SILICUM + H (KRZEM+BIOTYNA ) X 30 TAB.;18;5907636994015;6995901;2106 90 92;0.08;Suplement;200
103;SPIRULINA x60 kaps.;18.2;5907636994947;8441653;2106 90 92;0.08;Suplement;140
104;VENAL SPRAY NA ZMĘCZONE NOGI, ŻYLAKI 115ml;15.3;5907636994381;7038449;3304 99 00;0.23;Kosmetyk;70
105;VENAL ŻEL CHŁODZĄCY 150 ML;19;5907636994336;7050118;3304 99 00;0.23;Kosmetyk;60
106;WITAMINA C 500mg VEGAN z Aceroli X 60 KAPS.;19.4;5903317643302;4071061;2106 90 92;0.08;Suplement;140
107;ZDROWA STOPA KREMO – ŻEL DO STÓP 100 ML;11.4;5907636994343;7038468;3304 99 00;0.23;Kosmetyk;60
108;ZDROWE OCZY OCHRONA I REGENERACJA x30 kaps.;15.2;5907636994190;8949301;2106 90 92;0.08;Suplement;140
109;ZIELONA KAWA X 60 KAPS.;28.3;5907636994428;6999862;2106 90 92;0.08;Suplement;140
110;ZIELONY JĘCZMIEŃ W PROSZKU 100 GRAM;27.4;5907636994169;3051721;2106 90 92;0.08;Suplement;100
111;ZIELONY JĘCZMIEŃ X 120 KAPS.;34.9;5907636994176;8904002;2106 90 92;0.08;Suplement;100
112;ZIELONY JĘCZMIEŃ X 60 KAPS.;22.4;5907636994732;8904001;2106 90 92;0.08;Suplement;140
113;ŻEL ANTICELLUITIS 200 ML;17.4;5907636994497;7030377;3304 99 00;0.23;Kosmetyk;70
114;ŻEL KASZTANOWY Z RUTYNĄ 200ML;19;5907636994619;7041094;3304 99 00;0.23;Kosmetyk;60
115;ŻEL ŁAGODZĄCY PO UKĄSZENIACH 20 ML;8.9;5903317643227;7091949;3304 99 00;;;
116;ŻEL PNEUMOVIT 100 ML;15.8;5907636994312;9057979;3006 70 00;0.08;Wyrób med.;60
117;ŻEL PNEUMOVIT 200 ML;20;5907636994213;9057978;3006 70 00;0.08;Wyrób med.;70
118;ŻEL Z ARNIKĄ I BURSZTYNEM 200 ML;19;5907636994527;7032585;3304 99 00;0.23;Kosmetyk;60
119;ŻEL Z KASZTAN. MIŁORZĘBEM I BABKĄ LANCET. 200 ML;19;5907636994480;9541422;3304 99 00;0.23;Kosmetyk;60
120;ŻEL Z KASZTANOWCEM 200 ML;18;5907636994466;7030374;3304 99 00;0.23;Kosmetyk;60
121;ŻEL Z ŻYWOK. I BOSWELLIĄ 200 ML;19;5907636994473;3302747;3304 99 00;0.23;Kosmetyk;60
122;ŻEL Z ŻYWOKOSTEM 200 ML;18.5;5907636994459;7030375;3304 99 00;0.23;Kosmetyk;60
123;ŻEL ZE ŚWIETLIKIEM I KOLAGENEM POD OCZY 20ML;12.6;5907636994640;7042945;3304 99 00;0.23;Kosmetyk;60
124;ŻEL ŻYWOKOSTOWY Z JAŁOWCEM I MSM 200ML;19;5907636994435;7800641;3304 99 00;0.23;Kosmetyk;60
125;ŻYWORÓDKA W PŁYNIE 115 ML;15.8;5907636994923;7053867;3304 99 00;0.23;Kosmetyk;80
126;ŻYWORÓDKA W ZASYPCE 50 ML;12.7;5907636994916;7051801;3304 99 00;0.23;Kosmetyk;100
