ID,SKU,nazwa,typ,status,_regular_price,_sale_price,tax_class,tax_status,liczba_wariantow,EAN_z_SKU
230,GV-69,Pneumovit BABY 35 ml,simple,publish,17.0,,reduced-rate,taxable,0,
232,GV-72,Pneumovit Spray do nosa 35 ml,simple,publish,17.0,,reduced-rate,taxable,0,
234,GV-73,Pneumovit Zatoki 50 ml,simple,publish,17.0,,reduced-rate,taxable,0,
1058,,Offer,simple,draft,,,,,0,
1059,,Credit,simple,draft,,,zero-rate,none,0,
1441,5903317643302,Witamina C 500mg VEGAN 60 kapsułek,simple,publish,21.0,,reduced-rate,taxable,0,5903317643302
1486,,LIBIDO Vegan 60 kapsułek,simple,publish,42.0,,reduced-rate,taxable,0,
1549,,LUTEINA Vegan 60 kapsułek,simple,publish,23.0,,reduced-rate,taxable,0,
1550,,Magnez B6 VEGAN 60 kapsułek,simple,publish,14.0,,reduced-rate,taxable,0,
1551,5903317643289,Collagen Vegan 60 kapsułek,simple,publish,56.0,,reduced-rate,taxable,0,5903317643289
2038,5907636994756,AloeVera z Zieloną Herbatą 60 kapsułek,simple,publish,21.0,,reduced-rate,taxable,0,5907636994756
2040,5907636994121,"Apleplus C,E – Ocet Jabłkowy 30 kapsułek",simple,publish,13.0,,reduced-rate,taxable,0,5907636994121
2042,5907636994220,Apleplus Forte z Zieloną Herbatą 30 kapsułek,simple,publish,17.0,,reduced-rate,taxable,0,5907636994220
2044,5903317643043,Ashwagandha 60 kapsułek,simple,publish,25.0,,reduced-rate,taxable,0,5903317643043
2046,5903317643050,Ashwagandha + Gotu Kola 60 kapsułek,simple,publish,25.0,,reduced-rate,taxable,0,5903317643050
2048,5907636994060,Carbocaps 30 kapsułek,simple,publish,12.0,,reduced-rate,taxable,0,5907636994060
2049,5907636994725,Carbocaps 20 kapsułek,simple,publish,9.0,,reduced-rate,taxable,0,5907636994725
2050,5907636994992,Czystek 60 kapsułek,simple,publish,21.0,,reduced-rate,taxable,0,5907636994992
2052,5907636994114,Koenzym Q10 30mg z Magnezem 30 kapsułek,simple,publish,23.0,,reduced-rate,taxable,0,5907636994114
2053,5907636994985,Kwas Hialuronowy 60 kapsułek,simple,publish,38.0,,reduced-rate,taxable,0,5907636994985
2054,5903317643210,Magnez B6 + Ashwagandha 60 kapsułek,simple,publish,24.0,,reduced-rate,taxable,0,5903317643210
2056,5907636994558,Maść Końska Rozgrzewająca 130ml,simple,publish,15.0,,,taxable,0,5907636994558
2058,5903317643258,Mosqitos Płyn 20ml,simple,publish,7.0,,,taxable,0,5903317643258
2059,5907636994596,Pneumovit Pastylki 16 pastylek,simple,publish,13.0,,,taxable,0,5907636994596
2060,5907636994565,Pneumovit Pastylki 8 pastylek,simple,publish,9.0,,,taxable,0,5907636994565
2061,5907636994282,Pneumovit Sept Aerozol 35ml,simple,publish,17.0,,reduced-rate,taxable,0,5907636994282
2063,5907636994022,"Selen A,C,E Antyoksydanty 30 tabletek",simple,publish,20.0,,reduced-rate,taxable,0,5907636994022
2065,5907636994190,Zdrowe Oczy 30 kapsułek,simple,publish,16.0,,reduced-rate,taxable,0,5907636994190
2067,5907636994411,Carbosal + z Czarną Jagodą 20 kapsułek,simple,publish,11.0,,reduced-rate,taxable,0,5907636994411
2068,5903317643333,Karczoch Ostropest 60 kapsułek,simple,publish,24.0,,reduced-rate,taxable,0,5903317643333
2069,5907636994879,Maść Witaminowa 50ml,simple,publish,15.0,,,taxable,0,5907636994879
2070,5907636994510,Maść Żywokostowa 130ml,simple,publish,23.0,,,taxable,0,5907636994510
2071,5907636994923,Żyworódka w Płynie 115ml,simple,publish,19.0,,,taxable,0,5907636994923
11586,GV-151,Maść żywokostowa z gojnikiem i olejem CBD 140ml,simple,publish,24.72,,,taxable,0,
